"","temp_bin","temp","rate_output","rate_final","FishID","Species","Method","trial","rep","mass","vol","no_mass_rate","mass_corrected"
"1",10,9.95,0.002663715,1.849802083,"Masu14","Masu","Static",1,NA,25.3,2340,110.98812498,1.5208923764911
"2",10,9.6,0.002400517,1.667025694,"Masu15","Masu","Static",1,NA,26.1,2340,100.02154164,1.37531668256479
"3",11,10.6,0.0032652,2.2675,"Masu14","Masu","Static",2,NA,25.3,2340,136.05,1.86432024019597
"4",10,10.2,0.002408646,1.672670833,"Masu15","Masu","Static",2,NA,26.1,2340,100.36024998,1.3799739916093
"5",12,11.75,0.003317536,2.303844444,"Masu14","Masu","Static",3,NA,25.3,2340,138.23066664,1.89420234937695
"6",11,11.4,0.003004589,2.086520139,"Masu15","Masu","Static",3,NA,26.1,2340,125.19120834,1.72140475458928
"7",14,13.65,0.003886404,2.698891667,"Masu14","Masu","Static",4,NA,25.3,2340,161.93350002,2.21900699487732
"8",14,13.6,0.003280497,2.278122917,"Masu15","Masu","Static",4,NA,26.1,2340,136.68737502,1.87947940092353
"9",18,17.55,0.006452111,4.480632639,"Masu14","Masu","Static",5,NA,25.3,2340,268.83795834,3.68394007398914
"10",18,18.1,0.005278897,3.665900694,"Masu15","Masu","Static",5,NA,26.1,2340,219.95404164,3.02441312046389
"11",20,19.75,0.006354864,4.4131,"Masu14","Masu","Static",6,NA,25.3,2340,264.786,3.62841528203256
"12",20,19.5,0.00641931,4.457854167,"Masu15","Masu","Static",6,NA,26.1,2340,267.47125002,3.67778446749967
"13",20,20,0.006544209,4.544589583,"Masu15","Masu","Static",7,NA,26.1,2340,272.67537498,3.74934225153583
"14",21,20.6,0.008213123,5.703557639,"Masu14","Masu","Static",7,NA,25.3,2340,342.21345834,4.68941916097553
"15",20,20.05,0.007537104,5.2341,"Masu14","Masu","Static",8,NA,25.3,2340,314.046,4.30343487065478
"16",19,19.45,0.006455172,4.482758333,"Masu15","Masu","Static",8,NA,26.1,2340,268.96549998,3.69833071048107
"17",14,14.05,0.004631109,3.216047917,"Masu16","Masu","Static",1,NA,13,1370,192.96287502,2.45745877504946
"18",14,14,0.005024936,3.489538889,"Masu17","Masu","Static",1,NA,13.5,1370,209.37233334,2.67753230074645
"19",14,13.8,0.004053089,2.814645139,"Masu18","Masu","Static",1,NA,34.5,3690,168.87870834,2.39449376327502
"20",15,14.8,0.00472395,3.280520833,"Masu16","Masu","Static",2,NA,13,1370,196.83124998,2.50672406501598
"21",15,14.85,0.005311831,3.688771528,"Masu17","Masu","Static",2,NA,13.5,1370,221.32629168,2.83040402484932
"22",15,14.65,0.003715975,2.580538194,"Masu18","Masu","Static",2,NA,34.5,3690,154.83229164,2.19533273513169
"23",18,17.75,0.007058318,4.901609722,"Masu16","Masu","Static",3,NA,13,1370,294.09658332,3.74543667696126
"24",18,17.85,0.006830884,4.743669444,"Masu17","Masu","Static",3,NA,13.5,1370,284.62016664,3.63982995014387
"25",17,16.95,0.004770783,3.31304375,"Masu18","Masu","Static",3,NA,34.5,3690,198.782625,2.81849476756803
"26",21,21.05,0.009001762,6.251223611,"Masu16","Masu","Static",4,NA,13,1370,375.07341666,4.77670877863613
"27",21,20.95,0.009243783,6.41929375,"Masu17","Masu","Static",4,NA,13.5,1370,385.157625,4.92554085520748
"28",19,18.95,0.00590997,4.104145833,"Masu18","Masu","Static",4,NA,34.5,3690,246.24874998,3.49150642989446
"29",22,22.4,0.009760531,6.778146528,"Masu16","Masu","Static",5,NA,13,1370,406.68879168,5.17934312351374
"30",22,22.2,0.009904593,6.878189583,"Masu17","Masu","Static",5,NA,13.5,1370,412.69137498,5.27765282604944
"31",21,20.7,0.00656248,4.557277778,"Masu18","Masu","Static",5,NA,34.5,3690,273.43666668,3.87699787292186
"32",23,22.95,0.011381538,7.903845833,"Masu16","Masu","Static",6,NA,13,1370,474.23074998,6.03951676101347
"33",23,23,0.010729263,7.450877083,"Masu17","Masu","Static",6,NA,13.5,1370,447.05262498,5.71707744009154
"34",22,21.7,0.007488432,5.2003,"Masu18","Masu","Static",6,NA,34.5,3690,312.018,4.42403404415774
"35",14,13.95,0.006173313,4.287022917,"Masu19","Masu","Static",1,NA,13.1,2340,257.22137502,3.27857867034962
"36",15,15,0.006405317,4.448136806,"Masu19","Masu","Static",2,NA,13.1,2340,266.88820836,3.40179344437796
"37",16,16.3,0.006974656,4.843511111,"Masu19","Masu","Static",3,NA,13.1,2340,290.61066666,3.7041631280195
"38",18,17.7,0.008178321,5.679389583,"Masu19","Masu","Static",4,NA,13.1,2340,340.76337498,4.34341637727
"39",18,18.2,0.00745942,5.180152778,"Masu19","Masu","Static",5,NA,13.1,2340,310.80916668,3.96161595958717
"40",17,16.75,0.0060254,4.184305556,"Ito16","Ito","Static",2,NA,2.3,362,251.05833336,2.64267292066496
"41",17,17.05,0.007148329,4.964117361,"Ito14","Ito","Static",2,NA,3.4,582,297.84704166,3.27291467104727
"42",16,15.55,0.007996029,5.552797917,"Ito14","Ito","Static",3,NA,3.4,582,333.16787502,3.66104031115191
"43",15,15.45,0.007628488,5.297561111,"Ito16","Ito","Static",3,NA,2.3,362,317.85366666,3.34576935318045
"44",12,11.65,0.0071174,4.942638889,"Ito16","Ito","Static",4,NA,2.3,362,296.55833334,3.12161188368669
"45",12,11.85,0.00667775,4.637326389,"Ito14","Ito","Static",4,NA,3.4,582,278.23958334,3.05745663715237
"46",12,11.55,0.005495607,3.81639375,"Ito14","Ito","Static",5,NA,3.4,582,228.983625,2.51620382567907
"47",12,11.6,0.004428265,3.075184028,"Ito16","Ito","Static",5,NA,2.3,362,184.51104168,1.94218740674994
"48",13,13.425,0.008945351,6.212049306,"Ito14","Ito","Static",6,NA,3.4,582,372.72295836,4.09569432636877
"49",13,13.35,0.008322646,5.779615278,"Ito16","Ito","Static",6,NA,2.3,362,346.77691668,3.65021927357355
"50",14,14.25,0.003914907,2.718685417,"Ito14","Ito","Static",7,NA,3.4,582,163.12112502,1.79246877947888
"51",15,14.6,0.006001855,4.167954861,"Ito16","Ito","Static",7,NA,2.3,362,250.07729166,2.63234634715539
"52",16,15.7,0.006208,4.311111111,"Ito14","Ito","Static",8,NA,3.4,582,258.66666666,2.8423781666726
"53",16,15.65,0.006799304,4.721738889,"Ito16","Ito","Static",8,NA,2.3,362,283.30433334,2.9820985426168
"54",17,17.1,0.006912552,4.800383333,"Ito14","Ito","Static",9,NA,3.4,582,288.02299998,3.1649624484425
"55",17,17.25,0.0069504,4.826666667,"Ito16","Ito","Static",9,NA,2.3,362,289.60000002,3.04836755520086
"56",20,19.5,0.011927135,8.282732639,"Ito14","Ito","Static",10,NA,3.4,582,496.96395834,5.46092592079335
"57",20,19.55,0.006874852,4.774202778,"Ito16","Ito","Static",10,NA,2.3,362,286.45216668,3.01523304890883
