Model,Intercept (RA),Weight (RB),Temp Function (RQ)
Baikal Grayling,0.00145,-0.173,0.115
Brook Trout (juvenile & adult),0.0132,-0.265,4.5
Brown Trout,0.0013,-0.269,0.0938
Bull trout (adult) ,0.0009,-0.1266,0.0833
Chinook salmon (adult),0.00264,-0.217,0.06818
Lake trout (adult),0.00463,-0.295,0.059
Lenok,0.0024,-0.192,0.0872
Rainbow Trout (adult) ,0.013,-0.217,2.2
Sockeye salmon (adult),0.00143,-0.209,0.086
Steelhead (adult),0.00264,-0.217,0.06818
Ito Intermittent,0.00125,0,0.05507
Masu Intermittent,0.00039,0,0.10905
Ito Static,0.00228,0,0.04374
Masu Static,0.00093,0,0.09394
