"","Model","Temperature","Intercept","Sigma","Marginal R²","Conditional R²","Temperature P-Value","df","AIC","DeltaAIC"
"1","Rate ~ Temperature",0.071,-0.221,0.126,0.316,0.874,8.03081841043323e-51,4,-267.57,-39.725
"2","Rate ~ Temperature + Species",0.071,-0.226,0.126,0.31,0.877,7.63994135594347e-51,5,-262.881,-44.414
"3","Rate ~ Temperature + Replicate",0.071,-0.222,0.127,0.317,0.871,3.83130644070102e-50,5,-252.647,-54.648
"4","Rate ~ Temperature + Method",0.074,-0.475,0.126,0.373,0.788,6.03681378855233e-53,5,-284.655,-22.64
"5","Rate ~ Temperature + Species + Replicate",0.071,-0.227,0.127,0.311,0.874,3.66911607496509e-50,6,-247.933,-59.362
"6","Rate ~ Temperature + Species + Method",0.074,-0.477,0.126,0.367,0.792,6.99642681182754e-53,6,-279.186,-28.109
"7","Rate ~ Temperature + Method + Replicate",0.074,-0.474,0.126,0.375,0.787,2.50426755437947e-52,6,-269.448,-37.847
"8","Rate ~ Temperature + Species + Method + Replicate",0.074,-0.476,0.126,0.37,0.791,2.92870084871166e-52,7,-263.973,-43.322
"9","Rate ~ Temperature * Species + Method + Replicate",0.05,-0.031,0.118,0.406,0.826,1.659036660498e-19,8,-291.839,-15.456
"10","Rate ~ Temperature * Species",0.048,0.218,0.118,0.331,0.891,2.66036404202091e-18,6,-292.177,-15.118
"11","Rate ~ Temperature * Species + Method",0.051,-0.032,0.118,0.408,0.825,3.59190788242933e-20,7,-307.295,0
