FishID,Length,mass,FSID,Channel,vol,Species,Trial
Masu1,70,3.3,1,Ch1,350,Masu,1
Ito1,83,5.5,2,Ch2,350,Ito,1
Ito2,108,11.8,3,Ch3,350,Ito,1
Ito3,84,5.6,4,Ch4,350,Ito,1
Masu2,77,5.6,1,Ch1,350,Masu,2
Ito4,90,6.8,2,Ch2,1350,Ito,2
Masu3,62,2.5,3,Ch3,350,Masu,2
Masu4,65,3,4,Ch4,350,Masu,2
Ito5,111.6,14.8,5,Ch5,1350,Ito,2
Ito6,97,10.7,6,Ch6,1350,Ito,2
Ito7,160,41.2,7,Ch7,2880,Ito,2
Char1,165,47.3,8,Ch8,2880,Char,2
Ito8,74,3.8,1,Ch1,350,Ito,3
Ito9,131,19.8,2,Ch2,1350,Ito,3
Masu5,71,3.8,3,Ch3,350,Masu,3
Masu6,66,3.4,4,Ch4,350,Masu,3
Masu9,65,2.9,5,Ch5,350,Masu,3
Masu7,136,29.6,6,Ch6,1350,Masu,3
Masu8,122,21.9,7,Ch7,1350,Masu,3
Ito10,130,22.5,8,Ch8,1350,Ito,3
Masu11,61,2.2,1,Ch1,350,Masu,4
Ito13,123,17.5,2,Ch2,1350,Ito,4
Masu12,64,2.8,3,Ch3,350,Masu,4
Masu13,69,3.2,4,Ch4,350,Masu,4
Blank,0,0.01,5,Ch5,350,Blank,4
Ito12,139,27.8,6,Ch6,1350,Ito,4
Masu10,73,4.2,7,Ch7,350,Masu,4
Ito11,189,65.7,8,Ch8,2880,Ito,4
