temp_bin,temp,rate_output,rate_final,FishID,Species,Method,trial,rep,mass,vol
10,9.95,0.002663715,1.849802083,Masu14,Masu,Static,1,NA,25.3,2340
10,9.6,0.002400517,1.667025694,Masu15,Masu,Static,1,NA,26.1,2340
11,10.6,0.0032652,2.2675,Masu14,Masu,Static,2,NA,25.3,2340
10,10.2,0.002408646,1.672670833,Masu15,Masu,Static,2,NA,26.1,2340
12,11.75,0.003317536,2.303844444,Masu14,Masu,Static,3,NA,25.3,2340
11,11.4,0.003004589,2.086520139,Masu15,Masu,Static,3,NA,26.1,2340
14,13.65,0.003886404,2.698891667,Masu14,Masu,Static,4,NA,25.3,2340
14,13.6,0.003280497,2.278122917,Masu15,Masu,Static,4,NA,26.1,2340
18,17.55,0.006452111,4.480632639,Masu14,Masu,Static,5,NA,25.3,2340
18,18.1,0.005278897,3.665900694,Masu15,Masu,Static,5,NA,26.1,2340
20,19.75,0.006354864,4.4131,Masu14,Masu,Static,6,NA,25.3,2340
20,19.5,0.00641931,4.457854167,Masu15,Masu,Static,6,NA,26.1,2340
20,20,0.006544209,4.544589583,Masu15,Masu,Static,7,NA,26.1,2340
21,20.6,0.008213123,5.703557639,Masu14,Masu,Static,7,NA,25.3,2340
20,20.05,0.007537104,5.2341,Masu14,Masu,Static,8,NA,25.3,2340
19,19.45,0.006455172,4.482758333,Masu15,Masu,Static,8,NA,26.1,2340
14,14.05,0.004631109,3.216047917,Masu16,Masu,Static,1,NA,13,1370
14,14,0.005024936,3.489538889,Masu17,Masu,Static,1,NA,13.5,1370
14,13.8,0.004053089,2.814645139,Masu18,Masu,Static,1,NA,34.5,3690
15,14.8,0.00472395,3.280520833,Masu16,Masu,Static,2,NA,13,1370
15,14.85,0.005311831,3.688771528,Masu17,Masu,Static,2,NA,13.5,1370
15,14.65,0.003715975,2.580538194,Masu18,Masu,Static,2,NA,34.5,3690
18,17.75,0.007058318,4.901609722,Masu16,Masu,Static,3,NA,13,1370
18,17.85,0.006830884,4.743669444,Masu17,Masu,Static,3,NA,13.5,1370
17,16.95,0.004770783,3.31304375,Masu18,Masu,Static,3,NA,34.5,3690
21,21.05,0.009001762,6.251223611,Masu16,Masu,Static,4,NA,13,1370
21,20.95,0.009243783,6.41929375,Masu17,Masu,Static,4,NA,13.5,1370
19,18.95,0.00590997,4.104145833,Masu18,Masu,Static,4,NA,34.5,3690
22,22.4,0.009760531,6.778146528,Masu16,Masu,Static,5,NA,13,1370
22,22.2,0.009904593,6.878189583,Masu17,Masu,Static,5,NA,13.5,1370
21,20.7,0.00656248,4.557277778,Masu18,Masu,Static,5,NA,34.5,3690
23,22.95,0.011381538,7.903845833,Masu16,Masu,Static,6,NA,13,1370
23,23,0.010729263,7.450877083,Masu17,Masu,Static,6,NA,13.5,1370
22,21.7,0.007488432,5.2003,Masu18,Masu,Static,6,NA,34.5,3690
14,13.95,0.006173313,4.287022917,Masu19,Masu,Static,1,NA,13.1,2340
15,15,0.006405317,4.448136806,Masu19,Masu,Static,2,NA,13.1,2340
16,16.3,0.006974656,4.843511111,Masu19,Masu,Static,3,NA,13.1,2340
18,17.7,0.008178321,5.679389583,Masu19,Masu,Static,4,NA,13.1,2340
18,18.2,0.00745942,5.180152778,Masu19,Masu,Static,5,NA,13.1,2340
17,16.75,0.0060254,4.184305556,Ito16,Ito,Static,2,NA,2.3,362
17,17.05,0.007148329,4.964117361,Ito14,Ito,Static,2,NA,3.4,582
16,15.85,0.008478545,5.887878472,Ito15,Ito,Static,2,NA,2.2,406
16,15.55,0.007996029,5.552797917,Ito14,Ito,Static,3,NA,3.4,582
15,15.45,0.007628488,5.297561111,Ito16,Ito,Static,3,NA,2.3,362
12,11.65,0.0071174,4.942638889,Ito16,Ito,Static,4,NA,2.3,362
12,11.85,0.00667775,4.637326389,Ito14,Ito,Static,4,NA,3.4,582
12,11.7,0.01077477,7.482479167,Ito15,Ito,Static,3,NA,2.2,406
12,11.55,0.005495607,3.81639375,Ito14,Ito,Static,5,NA,3.4,582
12,11.6,0.004428265,3.075184028,Ito16,Ito,Static,5,NA,2.3,362
12,11.5,0.010990151,7.632049306,Ito15,Ito,Static,4,NA,2.2,406
13,13.425,0.008945351,6.212049306,Ito14,Ito,Static,6,NA,3.4,582
13,13.2,0.011701372,8.125952778,Ito15,Ito,Static,5,NA,2.2,406
13,13.35,0.008322646,5.779615278,Ito16,Ito,Static,6,NA,2.3,362
14,14.25,0.003914907,2.718685417,Ito14,Ito,Static,7,NA,3.4,582
14,14.4,0.009045566,6.281643056,Ito15,Ito,Static,6,NA,2.2,406
15,14.6,0.006001855,4.167954861,Ito16,Ito,Static,7,NA,2.3,362
16,15.7,0.006208,4.311111111,Ito14,Ito,Static,8,NA,3.4,582
16,15.75,0.007037333,4.887036806,Ito15,Ito,Static,7,NA,2.2,406
