FishID,Start_DO,End_DO,Start_temp,End_temp,End_time,Species,Length,Weight,Volume,Trial,Duration_hoursmins,Duration_days,delta_DO_mgL,delta_DO_g,Respiration_g_g_day,Avg_temp
1mas,9.55,8.33,9.8,10.1,7:06,Oncorhynchus masou,142,25.3,2340,1,0.042361111,0.042361111,1.22,0.0028548,0.002663715,9.95
2mas,10.17,8.98,9.5,9.7,7:11,Oncorhynchus masou,142,26.1,2340,1,0.044444444,0.044444444,1.19,0.0027846,0.002400517,9.6
1mas,9.3,7.78,10.4,10.8,9:01,Oncorhynchus masou,142,25.3,2340,2,0.043055556,0.043055556,1.52,0.0035568,0.0032652,10.6
2mas,8.96,7.71,10.0,10.4,9:10,Oncorhynchus masou,142,26.1,2340,2,0.046527778,0.046527778,1.25,0.002925,0.002408646,10.2
1mas,9.17,7.8,11.3,12.2,10:39,Oncorhynchus masou,142,25.3,2340,3,0.038194444,0.038194444,1.37,0.0032058,0.003317536,11.75
2mas,7.08,5.8,10.9,11.9,10:44,Oncorhynchus masou,142,26.1,2340,3,0.038194444,0.038194444,1.28,0.0029952,0.003004589,11.4
1mas,8.4,6.62,13.0,14.3,12:25,Oncorhynchus masou,142,25.3,2340,4,0.042361111,0.042361111,1.78,0.0041652,0.003886404,13.65
2mas,6.78,5.23,12.8,14.4,12:29,Oncorhynchus masou,142,26.1,2340,4,0.042361111,0.042361111,1.55,0.003627,0.003280497,13.6
1mas,7.65,5.47,16.8,18.3,14:11,Oncorhynchus masou,142,25.3,2340,5,0.03125,0.03125,2.18,0.0051012,0.006452111,17.55
2mas,5.98,4.14,17.7,18.5,14:15,Oncorhynchus masou,142,26.1,2340,5,0.03125,0.03125,1.84,0.0043056,0.005278897,18.1
1mas,6.62,4.95,19.5,20.0,15:35,Oncorhynchus masou,142,25.3,2340,6,0.024305556,0.024305556,1.67,0.0039078,0.006354864,19.75
2mas,7.86,6.07,19.3,19.7,15:38,Oncorhynchus masou,142,26.1,2340,6,0.025,0.025,1.79,0.0041886,0.00641931,19.5
2mas,7.86,6.39,20.0,20.0,16:59,Oncorhynchus masou,142,26.1,2340,7,0.020138889,0.020138889,1.47,0.0034398,0.006544209,20
1mas,5.76,4.65,20.6,20.6,17:07,Oncorhynchus masou,142,25.3,2340,7,0.0125,0.0125,1.11,0.0025974,0.008213123,20.6
1mas,7.66,5.17,20.2,19.9,18:55,Oncorhynchus masou,142,25.3,2340,8,0.030555556,0.030555556,2.49,0.0058266,0.007537104,20.05
2mas,7.28,5.08,19.6,19.3,18:58,Oncorhynchus masou,142,26.1,2340,8,0.030555556,0.030555556,2.2,0.005148,0.006455172,19.45
4mas,8.81,7.04,13.9,14.2,7:43,Oncorhynchus masou,115,13,1370,1,0.040277778,0.040277778,1.77,0.0024249,0.004631109,14.05
5mas,8.61,6.65,13.9,14.1,7:45,Oncorhynchus masou,116,13.5,1370,1,0.039583333,0.039583333,1.96,0.0026852,0.005024936,14
