Time,Date,Time,TempA,TempB,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
1,28-06-2024,11:33:03,19.331,20.781,8.104,10.098,9.289,9.242,8.46,7.831,6.928,7.537
2,28-06-2024,11:33:07,19.33,20.78,8.102,10.099,9.294,9.24,8.462,7.824,6.93,7.525
3,28-06-2024,11:33:11,19.333,20.781,8.092,10.096,9.294,9.237,8.461,7.832,6.93,7.529
4,28-06-2024,11:33:15,19.335,20.779,8.108,10.1,9.293,9.243,8.472,7.827,6.927,7.531
5,28-06-2024,11:33:19,19.334,20.777,8.106,10.098,9.292,9.24,8.463,7.833,6.918,7.532
6,28-06-2024,11:33:23,19.338,20.782,8.104,10.097,9.286,9.235,8.466,7.82,6.893,7.513
7,28-06-2024,11:33:27,19.34,20.785,8.109,10.097,9.297,9.242,8.472,7.822,6.885,7.473
8,28-06-2024,11:33:31,19.336,20.785,8.105,10.096,9.298,9.237,8.469,7.827,6.885,7.464
9,28-06-2024,11:33:35,19.336,20.786,8.098,10.091,9.291,9.244,8.474,7.827,6.883,7.461
10,28-06-2024,11:33:39,19.337,20.788,8.106,10.096,9.291,9.24,8.465,7.824,6.883,7.458
11,28-06-2024,11:33:43,19.341,20.787,8.115,10.084,9.294,9.236,8.455,7.822,6.876,7.467
12,28-06-2024,11:33:47,19.34,20.789,8.109,10.099,9.295,9.24,8.458,7.823,6.883,7.475
13,28-06-2024,11:33:51,19.342,20.789,8.105,10.096,9.296,9.241,8.473,7.823,6.883,7.485
14,28-06-2024,11:33:55,19.338,20.794,8.108,10.099,9.293,9.239,8.463,7.816,6.88,7.483
15,28-06-2024,11:33:59,19.344,20.79,8.109,10.101,9.3,9.241,8.473,7.819,6.89,7.466
16,28-06-2024,11:34:03,19.34,20.789,8.109,10.085,9.298,9.241,8.469,7.821,6.896,7.465
17,28-06-2024,11:34:07,19.343,20.79,8.109,10.092,9.288,9.244,8.467,7.82,6.893,7.466
18,28-06-2024,11:34:11,19.345,20.789,8.11,10.099,9.299,9.234,8.459,7.823,6.898,7.469
19,28-06-2024,11:34:15,19.344,20.792,8.109,10.09,9.29,9.241,8.465,7.816,6.9,7.458
20,28-06-2024,11:34:19,19.343,20.792,8.104,10.109,9.295,9.241,8.454,7.814,6.901,7.466
21,28-06-2024,11:34:23,19.346,20.793,8.094,10.095,9.295,9.245,8.463,7.818,6.893,7.462
22,28-06-2024,11:34:27,19.343,20.792,8.111,10.106,9.299,9.243,8.466,7.823,6.883,7.461
23,28-06-2024,11:34:31,19.348,20.794,8.112,10.098,9.299,9.238,8.457,7.819,6.872,7.463
24,28-06-2024,11:34:35,19.348,20.793,8.109,10.103,9.292,9.249,8.463,7.818,6.865,7.471
25,28-06-2024,11:34:39,19.35,20.796,8.108,10.095,9.3,9.245,8.472,7.812,6.858,7.487
26,28-06-2024,11:34:43,19.353,20.798,8.099,10.095,9.299,9.244,8.457,7.819,6.857,7.484
27,28-06-2024,11:34:47,19.351,20.796,8.109,10.094,9.297,9.248,8.456,7.82,6.852,7.496
28,28-06-2024,11:34:51,19.351,20.794,8.114,10.089,9.296,9.241,8.468,7.81,6.861,7.499
29,28-06-2024,11:34:55,19.354,20.792,8.11,10.085,9.296,9.241,8.466,7.802,6.856,7.503
30,28-06-2024,11:34:59,19.356,20.792,8.105,10.098,9.292,9.24,8.463,7.801,6.86,7.51
31,28-06-2024,11:35:03,19.359,20.794,8.112,10.097,9.295,9.24,8.478,7.805,6.861,7.503
32,28-06-2024,11:35:07,19.356,20.797,8.11,10.098,9.297,9.243,8.464,7.807,6.868,7.512
33,28-06-2024,11:35:11,19.357,20.791,8.109,10.086,9.296,9.237,8.472,7.794,6.868,7.521
34,28-06-2024,11:35:15,19.355,20.791,8.113,10.097,9.3,9.245,8.459,7.806,6.865,7.514
35,28-06-2024,11:35:19,19.357,20.793,8.105,10.097,9.291,9.249,8.469,7.798,6.869,7.514
36,28-06-2024,11:35:23,19.358,20.796,8.109,10.097,9.3,9.247,8.47,7.79,6.867,7.516
37,28-06-2024,11:35:27,19.356,20.801,8.111,10.092,9.301,9.247,8.465,7.795,6.866,7.514
38,28-06-2024,11:35:31,19.356,20.797,8.113,10.089,9.295,9.238,8.478,7.803,6.86,7.514
39,28-06-2024,11:35:35,19.36,20.798,8.102,10.095,9.304,9.245,8.459,7.789,6.855,7.525
40,28-06-2024,11:35:39,19.36,20.798,8.115,10.093,9.296,9.243,8.466,7.792,6.86,7.523
41,28-06-2024,11:35:43,19.363,20.798,8.109,10.09,9.289,9.245,8.47,7.796,6.856,7.522
42,28-06-2024,11:35:47,19.364,20.801,8.113,10.096,9.298,9.241,8.46,7.801,6.845,7.519
43,28-06-2024,11:35:51,19.364,20.798,8.115,10.101,9.301,9.249,8.449,7.803,6.844,7.513
44,28-06-2024,11:35:55,19.361,20.801,8.118,10.105,9.303,9.246,8.467,7.805,6.85,7.521
45,28-06-2024,11:35:59,19.364,20.803,8.115,10.099,9.293,9.247,8.451,7.797,6.848,7.517
46,28-06-2024,11:36:03,19.366,20.801,8.11,10.106,9.296,9.241,8.455,7.808,6.851,7.516
47,28-06-2024,11:36:07,19.364,20.806,8.112,10.096,9.292,9.244,8.464,7.801,6.85,7.519
48,28-06-2024,11:36:11,19.366,20.807,8.11,10.098,9.294,9.247,8.475,7.8,6.845,7.511
49,28-06-2024,11:36:15,19.368,20.808,8.118,10.088,9.294,9.25,8.453,7.802,6.854,7.512
50,28-06-2024,11:36:19,19.375,20.805,8.109,10.083,9.292,9.245,8.462,7.81,6.855,7.51
51,28-06-2024,11:36:23,19.369,20.807,8.11,10.095,9.295,9.248,8.454,7.806,6.852,7.506
52,28-06-2024,11:36:27,19.37,20.807,8.112,10.08,9.302,9.241,8.46,7.803,6.859,7.51
53,28-06-2024,11:36:31,19.369,20.808,8.116,10.087,9.299,9.248,8.459,7.804,6.863,7.505
54,28-06-2024,11:36:35,19.372,20.809,8.107,10.087,9.301,9.245,8.455,7.797,6.866,7.507
55,28-06-2024,11:36:39,19.37,20.811,8.113,10.089,9.297,9.245,8.464,7.806,6.866,7.503
56,28-06-2024,11:36:43,19.372,20.808,8.121,10.086,9.296,9.245,8.457,7.807,6.86,7.511
57,28-06-2024,11:36:47,19.376,20.805,8.113,10.088,9.304,9.246,8.465,7.807,6.853,7.511
58,28-06-2024,11:36:51,19.375,20.806,8.117,10.086,9.305,9.244,8.458,7.805,6.863,7.512
59,28-06-2024,11:36:55,19.375,20.803,8.112,10.087,9.3,9.244,8.462,7.805,6.861,7.513
60,28-06-2024,11:36:59,19.376,20.81,8.113,10.093,9.295,9.246,8.464,7.812,6.866,7.514
61,28-06-2024,11:37:03,19.38,20.814,8.115,10.09,9.301,9.246,8.469,7.807,6.867,7.513
62,28-06-2024,11:37:07,19.378,20.815,8.106,10.077,9.296,9.242,8.45,7.808,6.869,7.517
63,28-06-2024,11:37:11,19.382,20.807,8.115,10.074,9.299,9.237,8.466,7.8,6.865,7.517
64,28-06-2024,11:37:15,19.381,20.811,8.117,10.082,9.305,9.24,8.454,7.801,6.867,7.513
65,28-06-2024,11:37:19,19.381,20.81,8.111,10.081,9.299,9.241,8.46,7.799,6.867,7.513
66,28-06-2024,11:37:23,19.385,20.811,8.112,10.079,9.307,9.245,8.462,7.802,6.865,7.516
67,28-06-2024,11:37:27,19.383,20.814,8.117,10.079,9.3,9.239,8.461,7.782,6.855,7.516
68,28-06-2024,11:37:31,19.381,20.815,8.109,10.084,9.302,9.242,8.458,7.784,6.851,7.515
69,28-06-2024,11:37:35,19.38,20.818,8.115,10.086,9.3,9.245,8.453,7.783,6.843,7.519
70,28-06-2024,11:37:39,19.385,20.818,8.115,10.069,9.305,9.243,8.459,7.786,6.833,7.513
71,28-06-2024,11:37:43,19.387,20.816,8.111,10.075,9.305,9.241,8.454,7.79,6.832,7.512
72,28-06-2024,11:37:47,19.387,20.815,8.116,10.074,9.308,9.245,8.464,7.787,6.826,7.513
73,28-06-2024,11:37:51,19.388,20.817,8.125,10.074,9.297,9.241,8.454,7.79,6.827,7.517
74,28-06-2024,11:37:55,19.389,20.817,8.126,10.078,9.3,9.244,8.457,7.798,6.826,7.511
75,28-06-2024,11:37:59,19.392,20.818,8.111,10.066,9.3,9.249,8.452,7.798,6.831,7.516
76,28-06-2024,11:38:03,19.389,20.818,8.12,10.072,9.305,9.241,8.462,7.793,6.827,7.512
77,28-06-2024,11:38:07,19.392,20.82,8.117,10.057,9.301,9.248,8.448,7.795,6.829,7.507
78,28-06-2024,11:38:11,19.393,20.815,8.118,10.067,9.299,9.243,8.456,7.787,6.827,7.518
79,28-06-2024,11:38:15,19.389,20.821,8.122,10.068,9.298,9.241,8.469,7.797,6.824,7.516
80,28-06-2024,11:38:19,19.39,20.822,8.12,10.072,9.308,9.241,8.458,7.803,6.828,7.519
81,28-06-2024,11:38:23,19.396,20.819,8.12,10.071,9.301,9.245,8.452,7.794,6.825,7.515
82,28-06-2024,11:38:27,19.395,20.819,8.116,10.082,9.303,9.247,8.46,7.797,6.821,7.519
83,28-06-2024,11:38:31,19.397,20.821,8.119,10.076,9.298,9.245,8.448,7.794,6.824,7.521
84,28-06-2024,11:38:35,19.402,20.824,8.117,10.078,9.301,9.242,8.459,7.796,6.819,7.519
85,28-06-2024,11:38:39,19.403,20.82,8.125,10.073,9.303,9.242,8.451,7.802,6.824,7.512
86,28-06-2024,11:38:43,19.399,20.822,8.107,10.068,9.302,9.243,8.458,7.804,6.829,7.512
87,28-06-2024,11:38:47,19.397,20.821,8.122,10.073,9.306,9.247,8.457,7.789,6.831,7.517
88,28-06-2024,11:38:51,19.4,20.818,8.113,10.073,9.296,9.252,8.465,7.792,6.837,7.514
89,28-06-2024,11:38:55,19.402,20.817,8.119,10.064,9.302,9.247,8.463,7.783,6.835,7.521
90,28-06-2024,11:38:59,19.403,20.819,8.12,10.07,9.297,9.241,8.447,7.783,6.836,7.519
91,28-06-2024,11:39:03,19.407,20.818,8.112,10.068,9.302,9.246,8.45,7.781,6.839,7.528
92,28-06-2024,11:39:07,19.404,20.817,8.115,10.08,9.298,9.243,8.465,7.773,6.844,7.528
93,28-06-2024,11:39:11,19.404,20.816,8.116,10.077,9.306,9.251,8.449,7.776,6.842,7.52
94,28-06-2024,11:39:15,19.407,20.822,8.104,10.065,9.302,9.248,8.472,7.776,6.845,7.517
95,28-06-2024,11:39:19,19.409,20.817,8.122,10.083,9.299,9.243,8.46,7.782,6.847,7.52
96,28-06-2024,11:39:23,19.404,20.822,8.11,10.071,9.307,9.254,8.453,7.777,6.848,7.519
97,28-06-2024,11:39:27,19.405,20.824,8.116,10.071,9.31,9.245,8.46,7.777,6.847,7.512
98,28-06-2024,11:39:31,19.409,20.824,8.121,10.074,9.303,9.252,8.448,7.776,6.847,7.514
99,28-06-2024,11:39:35,19.411,20.827,8.12,10.071,9.31,9.248,8.456,7.759,6.845,7.511
100,28-06-2024,11:39:39,19.41,20.828,8.119,10.067,9.304,9.25,8.458,7.765,6.848,7.505
101,28-06-2024,11:39:43,19.409,20.831,8.119,10.079,9.308,9.251,8.478,7.77,6.851,7.51
102,28-06-2024,11:39:47,19.411,20.829,8.121,10.069,9.304,9.25,8.466,7.769,6.844,7.512
103,28-06-2024,11:39:51,19.412,20.83,8.114,10.069,9.301,9.248,8.459,7.769,6.827,7.514
104,28-06-2024,11:39:55,19.414,20.831,8.113,10.056,9.304,9.244,8.45,7.772,6.819,7.518
105,28-06-2024,11:39:59,19.414,20.83,8.116,10.058,9.3,9.248,8.466,7.776,6.811,7.517
