Time,Date,Time,TempA,TempB,CH1,Ch2,Ch3,CH4,CH5,Ch6,Ch7,Ch8
1,30-06-2024,17:19:00,22.114,19.845,8.194,8.889,8.528,8.657,8.373,7.594,8.147,8.059
2,30-06-2024,17:19:04,22.113,19.842,8.191,8.892,8.526,8.657,8.371,7.595,8.154,8.056
3,30-06-2024,17:19:08,22.114,19.847,8.192,8.894,8.526,8.649,8.366,7.597,8.152,8.058
4,30-06-2024,17:19:12,22.115,19.841,8.202,8.885,8.519,8.656,8.378,7.598,8.158,8.058
5,30-06-2024,17:19:16,22.116,19.845,8.202,8.884,8.532,8.647,8.378,7.591,8.148,8.05
6,30-06-2024,17:19:20,22.119,19.841,8.203,8.89,8.535,8.656,8.374,7.585,8.148,8.043
7,30-06-2024,17:19:24,22.118,19.847,8.197,8.891,8.533,8.653,8.368,7.591,8.151,8.034
8,30-06-2024,17:19:28,22.117,19.844,8.197,8.895,8.534,8.649,8.379,7.588,8.154,8.023
9,30-06-2024,17:19:32,22.121,19.845,8.212,8.893,8.533,8.657,8.368,7.588,8.151,8.028
10,30-06-2024,17:19:36,22.119,19.847,8.195,8.896,8.538,8.651,8.377,7.588,8.144,8.017
11,30-06-2024,17:19:40,22.119,19.851,8.197,8.895,8.539,8.654,8.366,7.587,8.15,8.007
12,30-06-2024,17:19:44,22.121,19.849,8.209,8.896,8.533,8.653,8.37,7.59,8.146,8.006
13,30-06-2024,17:19:48,22.121,19.851,8.207,8.891,8.536,8.661,8.376,7.582,8.151,8.002
14,30-06-2024,17:19:52,22.124,19.851,8.193,8.892,8.536,8.657,8.38,7.592,8.149,7.989
15,30-06-2024,17:19:56,22.127,19.851,8.189,8.895,8.538,8.658,8.369,7.596,8.147,7.977
16,30-06-2024,17:20:00,22.121,19.853,8.199,8.892,8.54,8.659,8.371,7.584,8.15,7.969
17,30-06-2024,17:20:04,22.127,19.853,8.192,8.886,8.539,8.65,8.371,7.576,8.15,7.971
18,30-06-2024,17:20:08,22.126,19.853,8.211,8.889,8.54,8.661,8.361,7.582,8.15,7.967
19,30-06-2024,17:20:12,22.126,19.853,8.196,8.893,8.539,8.661,8.366,7.579,8.154,7.959
20,30-06-2024,17:20:16,22.127,19.856,8.199,8.908,8.542,8.66,8.362,7.57,8.155,7.966
21,30-06-2024,17:20:20,22.129,19.852,8.196,8.898,8.543,8.656,8.369,7.561,8.156,7.957
22,30-06-2024,17:20:24,22.129,19.855,8.194,8.905,8.539,8.661,8.372,7.557,8.154,7.965
23,30-06-2024,17:20:28,22.131,19.857,8.193,8.9,8.537,8.657,8.373,7.556,8.153,7.971
24,30-06-2024,17:20:32,22.131,19.855,8.201,8.902,8.541,8.661,8.368,7.551,8.163,7.961
25,30-06-2024,17:20:36,22.134,19.854,8.201,8.908,8.543,8.659,8.362,7.556,8.157,7.958
26,30-06-2024,17:20:40,22.136,19.857,8.197,8.914,8.542,8.656,8.366,7.558,8.162,7.949
27,30-06-2024,17:20:44,22.133,19.857,8.204,8.915,8.544,8.659,8.361,7.562,8.158,7.938
28,30-06-2024,17:20:48,22.135,19.855,8.208,8.911,8.546,8.663,8.366,7.557,8.161,7.957
29,30-06-2024,17:20:52,22.134,19.858,8.201,8.902,8.549,8.653,8.369,7.561,8.162,7.936
30,30-06-2024,17:20:56,22.136,19.861,8.212,8.905,8.537,8.661,8.373,7.558,8.159,7.937
31,30-06-2024,17:21:00,22.14,19.887,8.205,8.899,8.539,8.656,8.371,7.552,8.161,7.934
