"","Species","Fork Length (mm)","Weight (g)","Trial","Temperature of LOE"
"1","Masu",62,2.5,2,28.7
"2","Masu",145,37.3,2,29.1
"3","Masu",87,6.5,2,29.3
"4","Masu",118,22.3,2,29.4
"5","Masu",108,17.3,2,29.5
"6","Masu",64,2.8,3,28.4
"7","Masu",63,3,3,28.7
"8","Masu",72,5,3,28.9
"9","Masu",67,2.9,3,29.2
"10","Masu",52,1.6,4,28.6
"11","Masu",126,31.6,4,28.9
"12","Masu",139,40.9,4,29
"13","Masu",59,2.6,4,29.2
"14","Masu",72,4.9,4,29.3
"15","Masu",71,4.4,5,28.4
"16","Masu",63,2.7,5,28.7
"17","Masu",64,3,5,28.9
"18","Masu",71,4.3,5,29.3
"19","Masu",151,49.2,5,30
"20","Masu",65,3.3,6,27.9
"21","Masu",69,4.4,6,28.2
"22","Masu",72,5,6,28.3
"23","Masu",111,17.9,6,28.3
"24","Masu",126,29.5,6,28.5
"25","Masu",107,17.9,6,28.6
"26","Masu",121,25.6,6,28.7
"27","Masu",125,24.9,7,29.2
"28","Masu",153,51.5,7,29.4
"29","Masu",119,22.8,7,29.4
"30","Masu",126,27.8,7,29.8
"31","Masu",108,16.8,8,29.2
"32","Masu",57,1.6,8,29.2
"33","Masu",57,2,8,29.3
"34","Masu",61,2.4,8,29.4
"35","Masu",70,3.7,8,29.6
"36","Masu",68,3.4,8,29.7
"37","Masu",73,4.9,9,29.2
"38","Masu",112,17.4,9,29.4
"39","Masu",100,13.1,10,28.2
"40","Masu",74,4.3,10,28.7
"41","Masu",105,15.8,10,28.9
"42","Masu",54,1.2,10,29.1
"43","Masu",163,54.7,10,29.7
"44","Masu",104,16.5,11,28.9
"45","Masu",150,46.5,11,29
"46","Masu",57,2.1,11,29.6
"47","Ito",72,3.7,2,28.4
"48","Ito",70,3.5,2,29.4
"49","Ito",168,50,3,29.1
"50","Ito",94,8.6,4,29.6
"51","Ito",96,9.2,4,29.6
"52","Ito",78,4.6,5,29
"53","Ito",92,7.4,5,29.1
"54","Ito",127,20.7,5,29.6
"55","Ito",147,36.7,6,29.4
"56","Ito",169,50.4,7,29.4
"57","Ito",69,4.4,7,29.6
"58","Ito",82,5.6,8,29.5
"59","Ito",104,11,9,29.5
"60","Ito",119,17,9,30
"61","Ito",77,4.2,10,29.6
"62","Ito",97,8.6,10,29.6
"63","Ito",85,6,10,29.6
"64","Ito",68,3,11,29.5
"65","Ito",100,10,11,29.5
"66","Ito",95,8.6,11,29.8
"67","Ito",104,11.1,11,29.9
"68","Ito",75,4.1,11,29.8
