,FishID,Species,temp_bin,rate_ggd,rate_final,mass_corrected,trial
1,Masu14,Masu,10,0.002663715,1.849802083,1.520892376,1
2,Masu15,Masu,10,0.002400517,1.667025694,1.375316683,1
3,Masu14,Masu,11,0.0032652,2.2675,1.86432024,2
4,Masu15,Masu,10,0.002408646,1.672670833,1.379973992,2
5,Masu14,Masu,12,0.003317536,2.303844444,1.894202349,3
6,Masu15,Masu,11,0.003004589,2.086520139,1.721404755,3
7,Masu14,Masu,14,0.003886404,2.698891667,2.219006995,4
8,Masu15,Masu,14,0.003280497,2.278122917,1.879479401,4
9,Masu14,Masu,18,0.006452111,4.480632639,3.683940074,5
10,Masu15,Masu,18,0.005278897,3.665900694,3.02441312,5
11,Masu14,Masu,20,0.006354864,4.4131,3.628415282,6
12,Masu15,Masu,20,0.00641931,4.457854167,3.677784467,6
13,Masu15,Masu,20,0.006544209,4.544589583,3.749342252,7
14,Masu14,Masu,21,0.008213123,5.703557639,4.689419161,7
15,Masu14,Masu,20,0.007537104,5.2341,4.303434871,8
16,Masu15,Masu,19,0.006455172,4.482758333,3.69833071,8
17,Masu16,Masu,14,0.004631109,3.216047917,2.457458775,1
18,Masu17,Masu,14,0.005024936,3.489538889,2.677532301,1
19,Masu18,Masu,14,0.004053089,2.814645139,2.394493763,1
20,Masu16,Masu,15,0.00472395,3.280520833,2.506724065,2
21,Masu17,Masu,15,0.005311831,3.688771528,2.830404025,2
22,Masu18,Masu,15,0.003715975,2.580538194,2.195332735,2
23,Masu16,Masu,18,0.007058318,4.901609722,3.745436677,3
24,Masu17,Masu,18,0.006830884,4.743669444,3.63982995,3
25,Masu18,Masu,17,0.004770783,3.31304375,2.818494768,3
26,Masu16,Masu,21,0.009001762,6.251223611,4.776708779,4
27,Masu17,Masu,21,0.009243783,6.41929375,4.925540855,4
28,Masu18,Masu,19,0.00590997,4.104145833,3.49150643,4
29,Masu16,Masu,22,0.009760531,6.778146528,5.179343124,5
30,Masu17,Masu,22,0.009904593,6.878189583,5.277652826,5
31,Masu18,Masu,21,0.00656248,4.557277778,3.876997873,5
32,Masu16,Masu,23,0.011381538,7.903845833,6.039516761,6
33,Masu17,Masu,23,0.010729263,7.450877083,5.71707744,6
34,Masu18,Masu,22,0.007488432,5.2003,4.424034044,6
35,Masu19,Masu,14,0.006173313,4.287022917,3.27857867,1
36,Masu19,Masu,15,0.006405317,4.448136806,3.401793444,2
37,Masu19,Masu,16,0.006974656,4.843511111,3.704163128,3
