"","FishID","mass","vol","Trial","Mass","Volume"
"1","Blank",1,350,4,1,350
"2","Masu11",2.2,350,4,2.2,350
"3","Masu3",2.5,350,2,2.5,350
"4","Masu12",2.8,350,4,2.8,350
"5","Masu9",2.9,350,3,2.9,350
"6","Masu4",3,350,2,3,350
"7","Masu13",3.2,350,4,3.2,350
"8","Masu1",3.3,350,1,3.3,350
"9","Masu6",3.4,350,3,3.4,350
"10","Ito8",3.8,350,3,3.8,350
"11","Masu5",3.8,350,3,3.8,350
"12","Masu10",4.2,350,4,4.2,350
"13","Ito1",5.5,350,1,5.5,350
"14","Ito3",5.6,350,1,5.6,350
"15","Masu2",5.6,350,2,5.6,350
"16","Ito4",6.8,1350,2,6.8,1350
"17","Ito6",10.7,1350,2,10.7,1350
"18","Ito2",11.8,350,1,11.8,350
"19","Ito5",14.8,1350,2,14.8,1350
"20","Ito13",17.5,1350,4,17.5,1350
"21","Ito9",19.8,1350,3,19.8,1350
"22","Masu8",21.9,1350,3,21.9,1350
"23","Ito10",22.5,1350,3,22.5,1350
"24","Ito12",27.8,1350,4,27.8,1350
"25","Masu7",29.6,1350,3,29.6,1350
"26","Ito7",41.2,2880,2,41.2,2880
"27","Char1",47.3,2880,2,47.3,2880
"28","Ito11",65.7,2880,4,65.7,2880
