"","Parameter","Ito Intermittent","Masu Intermittent","Ito Static","Masu Static"
"1","Intercept",-0.138582938795192,-1.3091552285034,0.45926736917167,-0.435267602576758
"2","Temperature",0.0550683664065072,0.109052429628469,0.0437392288972095,0.0939392174868929
"3","p-value",1.9481136114099e-16,2.61248133497708e-11,0.000109606535185454,1.67453407060589e-26
"4","Temp LCI",0.0436891759762654,0.0817762872440068,0.0227518349066719,0.0882330051518062
"5","Temp UCI",0.066447556836749,0.136328572012931,0.0647266228877472,0.0996454298219797
"6","Time",1.03798249116015e-05,2.22562047784316e-05,NA,NA
"7","Time LCI",-1.41751085763839e-05,-3.21439717331308e-05,NA,NA
"8","Time UCI",3.49347583995869e-05,7.6656381289994e-05,NA,NA
"9","Marginal R²",0.180245476184994,0.227393524468302,0.222666399745217,0.862238678588744
"10","Conditional R²",0.863027968293427,0.890762882942901,0.222666399745217,0.975100543022815
