"","Parameter","Ito Intermittent","Masu Intermittent","Ito Static","Masu Static"
"1","Intercept",-6.68169510418942,-7.85226739389762,-6.08384479622256,-6.97837976797098
"2","Temperature",0.0550683664065073,0.109052429628469,0.0437392288972096,0.0939392174868927
"3","p-value",1.94811361141039e-16,2.61248133497684e-11,0.000109606535185461,1.67453407060559e-26
"4","Temp LCI",0.0436891759762654,0.0817762872440069,0.0227518349066718,0.088233005151806
"5","Temp UCI",0.0664475568367493,0.136328572012931,0.0647266228877474,0.0996454298219795
"6","Time",1.03798249116015e-05,2.22562047784302e-05,NA,NA
"7","Time LCI",-1.41751085763841e-05,-3.21439717331321e-05,NA,NA
"8","Time UCI",3.49347583995871e-05,7.66563812899925e-05,NA,NA
"9","Marginal R²",0.180245476184991,0.227393524468298,0.222666399745219,0.862238678588745
"10","Conditional R²",0.863027968293427,0.8907628829429,0.222666399745219,0.975100543022815
