"","FishID","Species","mass","vol","Method","Replicates"
"1","Ito1","Ito",5.5,350,"Intermittent",18
"2","Ito10","Ito",22.5,1350,"Intermittent",10
"3","Ito14","Ito",3.4,582,"Static",10
"4","Ito16","Ito",2.3,362,"Static",10
"5","Ito17","Ito",2.7,372,"Static",8
"6","Ito18","Ito",1.5,374,"Static",8
"7","Ito19","Ito",4.7,384,"Static",8
"8","Ito2","Ito",11.8,350,"Intermittent",18
"9","Ito20","Ito",2.2,376,"Static",8
"10","Ito21","Ito",3.7,582,"Static",5
"11","Ito22","Ito",3,362,"Static",5
"12","Ito3","Ito",5.6,350,"Intermittent",18
"13","Ito5","Ito",14.8,1350,"Intermittent",25
"14","Ito7","Ito",41.2,2880,"Intermittent",21
"15","Ito8","Ito",3.8,350,"Intermittent",11
"16","Ito9","Ito",19.8,1350,"Intermittent",7
"17","Masu1","Masu",3.3,350,"Intermittent",14
"18","Masu14","Masu",25.3,2340,"Static",8
"19","Masu15","Masu",26.1,2340,"Static",8
"20","Masu16","Masu",13,1370,"Static",6
"21","Masu17","Masu",13.5,1370,"Static",6
"22","Masu18","Masu",34.5,3690,"Static",6
"23","Masu19","Masu",13.1,2340,"Static",5
"24","Masu2","Masu",5.6,350,"Intermittent",17
"25","Masu5","Masu",3.8,350,"Intermittent",11
"26","Masu6","Masu",3.4,350,"Intermittent",11
"27","Masu7","Masu",29.6,1350,"Intermittent",11
"28","Masu9","Masu",2.9,350,"Intermittent",11
